N ,  iterations ,  CPUTime ,  
5.00000000000,32.0000000000,0.000154000000000,
15.0000000000,369.000000000,0.00357400000000,
25.0000000000,1056.00000000,0.0209240000000,
35.0000000000,2107.00000000,0.0306220000000,
45.0000000000,3509.00000000,0.0567660000000,
55.0000000000,5298.00000000,0.126375000000,
65.0000000000,7376.00000000,0.234751000000,
75.0000000000,9916.00000000,0.412039000000,
85.0000000000,12755.0000000,0.666754000000,
95.0000000000,16001.0000000,1.03652900000,
105.000000000,19581.0000000,1.53510200000,
115.000000000,23423.0000000,2.19082900000,
125.000000000,27662.0000000,3.10391300000,
